"Depth_cm","Si","Cl","K","Ca","Ti","Mn","Fe","Zn","Br","Rb","Sr","Zr","Ba","Pb","checksum"
1,-1.406,-0.928,0.873,0.899,0.578,0.761,4.445,-0.75,-0.95,-0.527,0.294,-1.458,-2.339,0.508,0
1.2,-1.499,-0.905,0.844,0.859,0.56,1.138,4.398,-0.702,-1.019,-0.565,0.278,-1.534,-2.334,0.481,0
1.4,-1.503,-0.833,0.847,0.84,0.551,1.245,4.382,-0.779,-1.006,-0.54,0.309,-1.602,-2.369,0.458,0
1.6,-1.504,-0.846,0.941,0.896,0.621,0.795,4.473,-0.649,-0.972,-0.477,0.353,-1.954,-2.197,0.519,0
1.8,-1.531,-0.899,0.831,0.799,0.545,0.558,4.384,-0.721,-1.154,0.258,0.23,-1.508,-2.211,0.419,0
2,-1.613,-0.879,0.788,0.795,0.504,0.639,4.334,-0.805,-1.068,0.205,0.3,-1.406,-2.233,0.438,0
2.2,-1.439,-0.989,0.798,0.827,0.518,0.731,4.329,-0.804,-1.129,0.194,0.296,-1.508,-2.237,0.413,0
2.4,-1.526,-1.001,0.806,0.833,0.529,0.808,4.319,-0.811,-1.132,0.146,0.302,-1.361,-2.317,0.405,0
2.6,-1.507,-0.994,0.775,0.792,0.495,0.848,4.302,-0.791,-1.126,0.149,0.259,-1.196,-2.38,0.374,0
2.8,-1.509,-1.022,0.802,0.81,0.514,0.746,4.312,-0.808,-1.151,0.176,0.308,-1.288,-2.284,0.395,0
3,-1.531,-0.977,0.805,0.821,0.528,0.563,4.34,-0.788,-1.1,0.18,0.312,-1.296,-2.262,0.406,0
3.2,-1.531,-0.95,0.806,0.797,0.521,0.664,4.332,-0.78,-1.108,0.2,0.293,-1.372,-2.258,0.385,0
3.4,-1.449,-0.992,0.786,0.793,0.509,0.527,4.328,-0.751,-1.143,0.192,0.307,-1.253,-2.227,0.372,0
3.6,-1.528,-0.944,0.781,0.793,0.494,0.443,4.332,-0.737,-1.001,0.178,0.298,-1.198,-2.307,0.397,0
3.8,-1.502,-0.968,0.776,0.82,0.524,0.504,4.322,-0.749,-1.079,0.194,0.345,-1.26,-2.29,0.362,0
4,-1.501,-0.937,0.793,0.821,0.535,0.444,4.321,-0.801,-1.063,0.2,0.35,-1.229,-2.313,0.379,0
4.2,-1.569,-0.942,0.781,0.827,0.517,0.403,4.318,-0.793,-1.063,0.258,0.385,-1.202,-2.285,0.365,0
4.4,-1.565,-0.951,0.762,0.8,0.512,0.379,4.302,-0.782,-1.086,0.194,0.337,-1.018,-2.211,0.324,0
4.6,-1.556,-0.954,0.804,0.826,0.529,0.485,4.362,-0.736,-1.101,0.227,0.317,-1.284,-2.24,0.322,0
4.8,-1.528,-0.942,0.815,0.836,0.539,0.48,4.377,-0.711,-1.128,0.271,0.313,-1.408,-2.237,0.324,0
5,-1.521,-0.999,0.81,0.857,0.542,0.701,4.373,-0.809,-1.057,0.209,0.318,-1.542,-2.21,0.325,0
